Designator,Footprint,Quantity,Value,LCSC Part #
USB1,USB-SMD_AM180CB,1,AM 180°CB,C2681565
USB2,USB-A-SMD_C41014,1,USB-AF-90-10X15.7-H5.72-CB,C41014
