Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",0402,8,100nF,C1525
"CH1, CH2, CH3, CH4",SW_choc_v2_HS_CPG135001S30_1u,4,choc_v1_SW_HS,C5333465
CN1,CONN-SMD_S7B-ZR-SM4A-TF-LF-SN,1,S7B-ZR-SM4A-TF(LF)(SN)_C5118704,C5118704
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED_choc_6028R,8,choc_SK6812MINI-E,C5149201
