Designator,Mid X,Mid Y,Rotation,Layer
CN1,150.0,-105.8,180.0,top
LOGO1,150.0,-100.0,0.0,bottom
R1,146.5,-100.0,90.0,top
R2,153.5,-100.0,270.0,top
USBC1,150.0,-94.0,180.0,top
